code,term
1005681000000107,Serum high density lipoprotein cholesterol level
166832000,Serum HDL cholesterol measurement
1026451000000102,Serum fasting HDL (high density lipoprotein) cholesterol level
1026461000000104,Serum random HDL (high density lipoprotein) cholesterol level
1028831000000106,Plasma random HDL (high density lipoprotein) cholesterol level
1028841000000102,Plasma fasting HDL (high density lipoprotein) cholesterol level
1010581000000101,Plasma HDL (high density lipoprotein) cholesterol level
314035000,Plasma HDL cholesterol measurement
