Ethnicity,Standardised ethnicity,5-category ethnicity,17-category ethnicity,Notes
White (Armenian),Armenian,White,White: Other,
White (Ashkenazi Jewish),Ashkenazi Jewish,White,White: Other,
"Swedish, Ashkenazi Jewish",Ashkenazi Jewish/Swedish,White,White: Other,
White (Australian European),Australian,White,White: Other,
White (Australian),Australian,White,White: Other,
Australian,Australian,White,White: Other,
White (Australian-Polish European),Australian/Polish,White,White: Other,
White (Austrian),Austrian,White,White: Other,
White (Belgian),Belgian,White,White: Other,
Bosnia/Herzegovina,Bosnian,White,White: Other,
Bosnian,Bosnian,White,White: Other,
White (Bosnian),Bosnian,White,White: Other,
White (Brazilian),Brazilian,White,White: Other,
Intalian/Maltese/British,British/Italian/Maltese,White,White: Other,Assume Intalian is misspelled Italian
White (British/South African),British/South African,White,White: Other,
Bulgarian,Bulgarian,White,White: Other,
Not Stated (Bulgarian),Bulgarian,White,White: Other,
White (Bulgarian),Bulgarian,White,White: Other,
Canadian,Canadian,White,White: Other,
Jewish caucasian,Caucasian,White,White: Other,
White (Chechnyan),Chechnyan,White,White: Other,
Croatian,Croatian,White,White: Other,
White (Croatian),Croatian,White,White: Other,
Not Stated (Latvian/Croatian),Croatian/Latvian,White,White: Other,
Cypriot,Cypriot,White,White: Other,
Greek Cypriot,Cypriot/Greek,White,White: Other,
Turkish Cypriot,Cypriot/Turkish,White,White: Other,
Czech,Czech,White,White: Other,
White (Czech),Czech,White,White: Other,
Danish,Danish,White,White: Other,
White (Danish),Danish,White,White: Other,
Dutch,Dutch,White,White: Other,
White (Dutch),Dutch,White,White: Other,
White (Netherlands),Dutch,White,White: Other,
White Dutch,Dutch,White,White: Other,
Eastern European,Eastern European,White,White: Other,
White (Eastern European),Eastern European,White,White: Other,
White (Egyptian),Egyptian,White,White: Other,
European,European,White,White: Other,
Finnish,Finnish,White,White: Other,
White (Finnish),Finnish,White,White: Other,
White (Fnnish),Finnish,White,White: Other,
French,French,White,White: Other,
French Canadian,French,White,White: Other,
Norwegian/French/Ukrainian,French/Norwegian/Ukrainian,White,White: Other,
Georgian,Georgian,White,White: Other,
German,German,White,White: Other,
Not Stated (German),German,White,White: Other,
White (German),German,White,White: Other,
Greek,Greek,White,White: Other,
Not Stated (Greek),Greek,White,White: Other,
White (greek),Greek,White,White: Other,
White Greek,Greek,White,White: Other,
Turkish/Greek,Greek/Turkish,White,White: Other,
Hungarian,Hungarian,White,White: Other,
Not Stated (Hungarian),Hungarian,White,White: Other,
White (Hungarian),Hungarian,White,White: Other,
Hutterite,Hutterite,White,White: Other,
Icelandic,Icelandic,White,White: Other,
White (Icelandic),Icelandic,White,White: Other,
Not Stated (Inuit),Inuit,White,White: Other,
Caucasian (Iraqi),Iraqi,White,White: Other,
White (Middle Eastern/Iraq),Iraqi,White,White: Other,
Irish Italian,Irish/Italian,White,White: Other,
Italian/Irish/Ukrainian,Irish/Italian/Ukrainian,White,White: Other,
Italian,Italian,White,White: Other,
White (Italian),Italian,White,White: Other,
White Italian,Italian,White,White: Other,
Turkish/Kurdish,Kurdish/Turkish,White,White: Other,
Latvian,Latvian,White,White: Other,
White (Latvian),Latvian,White,White: Other,
White Latvian,Latvian,White,White: Other,
Polish/Latvian,Latvian/Polish,White,White: Other,
Lithuanian,Lithuanian,White,White: Other,
Not Stated (Lithuanian),Lithuanian,White,White: Other,
White (Lithuanian),Lithuanian,White,White: Other,
Maltese,Maltese,White,White: Other,
White (Maltese),Maltese,White,White: Other,
White Middle Eastern,Middle Eastern,White,White: Other,
Moldovan,Moldovan,White,White: Other,
Montenegrin,Montenegrin,White,White: Other,
New Zealand,New Zealander,White,White: Other,
New Zealander,New Zealander,White,White: Other,
Not Stated  (NZ European),New Zealander,White,White: Other,
Not Stated (New Zealand),New Zealander,White,White: Other,
Not Stated (NZ European),New Zealander,White,White: Other,
NZ European,New Zealander,White,White: Other,
White (New Zealand European),New Zealander,White,White: Other,
White (NZ European),New Zealander,White,White: Other,
North American,North American,White,White: Other,
White American,North American,White,White: Other,
Northern European,Northern European,White,White: Other,
Any other white background,Other,White,White: Other,
British or mixed British,Other,White,White: Other,
British Other,Other,White,White: Other,
Caucasian,Other,White,White: Other,
caucasian,Other,White,White: Other,
Not Stated (European),Other,White,White: Other,
Not Stated (Jewish/Russian ?Christian),Other,White,White: Other,
Other White,Other,White,White: Other,
Other white,Other,White,White: Other,
Other White Background,Other,White,White: Other,
White,Other,White,White: Other,
white,Other,White,White: Other,
White (Other),Other,White,White: Other,
White Caucasian,Other,White,White: Other,
White Jewish,Other,White,White: Other,
White other,Other,White,White: Other,
White- other,Other,White,White: Other,
Whtie,Other,White,White: Other,
whtie,Other,White,White: Other,
Not Stated (Poland),Polish,White,White: Other,
Not Stated (Polish),Polish,White,White: Other,
Polish,Polish,White,White: Other,
White - Polish,Polish,White,White: Other,
White (Polish),Polish,White,White: Other,
White-polish,Polish,White,White: Other,
Portuguese,Portuguese,White,White: Other,
White Portuguese,Portuguese,White,White: Other,
Not Stated (Romanian),Romanian,White,White: Other,
Romanian,Romanian,White,White: Other,
White Romanian,Romanian,White,White: Other,
White/other-Romanian,Romanian,White,White: Other,
Romanian/ Portugese,Romanian/Portugese,White,White: Other,
Russian,Russian,White,White: Other,
Slovak,Slovakian,White,White: Other,
White (Slovakia),Slovakian,White,White: Other,
Southern European,Southern European,White,White: Other,
Not Stated (Spanish),Spanish,White,White: Other,
Spanish,Spanish,White,White: Other,
Not Stated (Swedish),Swedish,White,White: Other,
Swedish,Swedish,White,White: Other,
White (Swedish),Swedish,White,White: Other,
Not Stated (Turk),Turkish,White,White: Other,
Not Stated (Turkish),Turkish,White,White: Other,
Tork,Turkish,White,White: Other,Assume misspelled Turk
Turkey,Turkish,White,White: Other,
Turkish,Turkish,White,White: Other,
Turkish/Caucasian,Turkish,White,White: Other,
Turksih,Turkish,White,White: Other,
Ukraine,Ukrainian,White,White: Other,
Ukrainian,Ukrainian,White,White: Other,
Ukranian,Ukrainian,White,White: Other,
White (Ukrainian),Ukrainian,White,White: Other,
White Ukrainian,Ukrainian,White,White: Other,
Not Stated (Ukrainian),Ukranian,White,White: Other,
White (Venezualan),Venezualan,White,White: Other,
Roma,Roma,White,White: Roma,
Romani Gypsy,Roma,White,White: Roma,
Romani Gypsy?,Roma,White,White: Roma,
Aryan,,,,Possibly refers to Indo-Iranian groups but unclear
Ayran,,,,Assume misspelled Aryan
Eton,,,,Unknown
Illegible,,,,
Male,,,,Unknown
Mesmzo,,,,Possibly misspelled Mestizo but unclear
Muslim,,,,Religion not ethnicity
N/A,,,,
NA,,,,
NoWhite,,,,
Non-white,,,,
Not Stated,,,,
Not Stated (Arian),,,,Possibly refers to Indo-Iranian groups but unclear
Not StatedNot Stated,,,,
Not known,,,,
Not provided,,,,
Not sated,,,,
Not state,,,,
Not stated,,,,
Not statedd,,,,
Nwhite,,,,
Patham,,,,Unknown
Pathau,,,,Unknown
SA,,,,Ambiguous
Sikh,,,,Religion not ethnicity
Siriki,,,,Unknown
Unknown,,,,
Unwanted,,,,
not sated,,,,
not stated,,,,
not statted,,,,
nto stated,,,,
Jewish,,,,
Not Stated (Jewish),,,,
Not stated (Muslim),,,,
