code,term
1005691000000109,Serum triglycerides level
271245006,Measurement of serum triglyceride level
1026491000000105,Serum fasting triglyceride level
1026501000000104,Serum random triglyceride level
1028871000000108,Plasma random triglyceride level
1031321000000109,Plasma fasting triglyceride level
1010601000000105,Plasma triglyceride level
167082000,Plasma triglyceride measurement
850991000000104,Triglyceride level
14740000,Triglycerides measurement
